Lake_name,modalDwLehmann,Cluster,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
Kikuletwa,579,3,United Republic of Tanzania,Africa,SWBD,2,4500,110.07,90.11,2.4200001,1135,1135,2,10.3000002,73.228,179.4,684,1.34,13266.9,37.470367,-3.825186
Kisale,573,2,Democratic Republic of the Congo,Africa,SWBD,1,0,298.23,172.23,2.8099999,780.25,0,3,2.5999999,716.979,12.6,562,0.47,126718,26.55625,-8.25625
Kitangiri,582,4,United Republic of Tanzania,Africa,SWBD,1,0,66.95,89.6,3.0899999,66.95,0,3,1,123.369,6.3,1039,0.28,45378.4,34.369792,-4.0156
Kivu,490,1,Rwanda,Africa,SWBD,1,0,2400.88,1190.34,6.8499999,569000,0,1,237,64.438,102201.3,1461,-1,7421.8,28.892849,-2.48862
Koka,582,4,Ethiopia,Africa,SWBD,2,4488,150.3,102.85,2.3699999,1900,1900,2,12.6000004,73.041,301.1,1590,2.51,11493.9,39.155177,8.469422
Kyoga,577,3,Uganda,Africa,SWBD,1,0,2788.19,1453.33,7.7600002,8364.57,0,1,3,3428.311,28.2,1034,-1,318838,32.349026,1.613382
Lake Manyame,573,2,Zimbabwe,Africa,SWBD,2,4523,75.18,122.95,4,490,490,2,6.5,12.621,449.4,1343,0.87,3968.9,30.507187,-17.822663
Langano,584,4,Ethiopia,Africa,SWBD,1,0,229.28,93.09,1.73,5076.72,0,3,22.1000004,13.274,4426.6,1585,3.1900001,2007.6,38.710986,7.668736
Malawi,486,1,Malawi,Africa,SWBD,1,0,29544,1718.97,2.8199999,7720000,0,1,261.2999878,1119.676,79801.5,476,-1,128727.2,35.236458,-14.417702
Malombe,568,2,Malawi,Africa,SWBD,1,0,309.57,90.56,1.45,1340.64,0,3,4.3000002,1220.91,12.7,473,0.72,130758.5,35.276507,-14.768212
Manyara,583,4,United Republic of Tanzania,Africa,SWBD,1,0,546.19,152.9,1.85,1638.57,0,1,3,13.493,1405.5,954,-1,7944.3,35.810417,-3.652083
Mweru,570,2,Democratic Republic of the Congo,Africa,SWBD,1,0,5042.56,572.11,2.27,38200,0,1,7.5999999,1491.026,296.5,921,-1,216298.5,28.878979,-8.491502
Mweru wa Ntipa,581,4,Zambia,Africa,SWBD,1,0,1449.04,361.47,2.6800001,4347.12,0,1,3,96.056,523.8,933,-1,11430.6,29.444653,-8.944101
Naivasha,576,3,Kenya,Africa,SWBD,1,0,128.23,62.03,1.55,1739.63,0,3,13.6000004,12.219,1647.8,1881,2.3800001,3253,36.347917,-0.76875
Nakuwa,578,3,Uganda,Africa,SWBD,1,0,89.72,137.84,4.1100001,132.1,0,3,1.5,62.237,24.6,1035,0.43,10761,33.438573,1.291975
Natron,579,3,United Republic of Tanzania,Africa,Other,1,0,886.35,171.08,1.62,600,0,1,0.7,32.843,211.4,602,-1,16235.4,35.972917,-2.552083
Revue,576,3,Mozambique,Africa,SWBD,2,4539,120.42,334.02,8.5900002,1540,1540,2,12.8000002,56.867,313.4,625,2.52,2869.3,33.142843,-19.156395
Roseires Reservoir,585,4,Sudan,Africa,SWBD,2,4483,225.28,412.38,7.75,3000,3000,2,13.3000002,1753.891,19.8,483,0.75,189002.3,34.389948,11.797669
Rukwa,583,4,United Republic of Tanzania,Africa,SWBD,1,0,5894.78,590.11,2.1700001,20631.73,0,1,3.5,520.273,459,801,-1,79610.1,32.202083,-7.914583
Rweru,578,3,Burundi,Africa,SWBD,1,0,126.08,83.28,2.0899999,1043.7,0,3,8.3000002,6.476,1865.3,1323,1.5599999,1153.7,30.363307,-2.353871
Shala,577,3,Ethiopia,Africa,SWBD,1,0,307.79,110.66,1.78,24509.55,0,3,79.5999985,36.748,7719.5,1557,9.0900002,4156.2,38.514583,7.464583
Sulunga,580,3,United Republic of Tanzania,Africa,SWBD,1,0,801.86,151.12,1.51,400.93,0,1,0.5,15.864,292.5,823,-1,24632.8,35.177083,-6.064583
Tana,573,2,Ethiopia,Africa,SWBD,1,0,3059.34,484.93,2.47,28400,0,1,9.3000002,170.151,1931.8,1786,-1,15133.2,37.407008,11.573725
Tanganyika,488,1,Democratic Republic of the Congo,Africa,SWBD,1,0,32826.65,2126.23,3.3099999,18940000,0,1,577,1490.748,147049,767,-1,239411.9,29.185417,-5.91118
Tshangalele,572,2,Democratic Republic of the Congo,Africa,SWBD,2,4047,179.64,296.72,6.25,1267,1267,2,7.0999999,72.23,203,1120,0.61,12619.7,27.244792,-10.753326
Turkana,572,2,Kenya,Africa,SWBD,1,0,7473.43,1024.85,3.3399999,238000,0,1,31.7999992,1198.172,2299,361,-1,149328.6,36.14375,3.372917
Upemba,576,3,Democratic Republic of the Congo,Africa,SWBD,1,0,607.97,178.77,2.05,900,0,1,1.5,434.785,24,565,-1,71725.2,26.303878,-8.578468
Victoria,573,2,Uganda,Africa,SWBD,3,4492,67166.22,7422.44,8.0799999,2760000,204800,1,41.0999985,1735.515,18406.3,1134,-1,265372.8,33.193791,0.430999
Yardi,579,3,Ethiopia,Africa,SWBD,3,4484,91.6,53.69,1.58,2436.55,2322.8,3,26.6000004,2.58,10930.5,561,0.37,1358.2,40.541843,10.233156
Zimbambo,572,2,Democratic Republic of the Congo,Africa,SWBD,1,0,164.56,169.04,3.72,164.56,0,3,1,6.763,281.6,560,0.18,1057.4,26.885436,-7.993771
Ziway,580,3,Ethiopia,Africa,SWBD,1,0,411.96,150.02,2.0899999,5717.64,0,3,13.8999996,60.774,1088.9,1636,1.85,7296.3,38.740906,7.903165
